Name,Picture,Prix/jour,Type de boîte,Ville,Carburant,Modèle,Personnes,Classe,Name,Number Phone,Serial,Marque,P,Video,Reserve,Clima
TOUAREG,https://lh3.googleusercontent.com/-wgySJSoV2o4/Zn1cIPysLDI/AAAAAAAAA_c/AsSDYUtXyooT9R5hp_UvM9RFM2K-uwRfwCNcBGAsYHQ/h1200/LOCATION%2BAGADIR%2BTOUREG2023.webp,1200,Automatique,Agadir,Diesel,2023,5,Luxe,Meetings Cars,212661661561,#000121,Volkswagen,123123,Dc8pY0-sNz0,YES,Oui
LOGAN,https://lh3.googleusercontent.com/-agMydAOBZOc/Zn17lyoVDwI/AAAAAAAAA_s/55iqI1dNLpM2s7gvlx3KekAIEVnOJUD2wCNcBGAsYHQ/h1200/DACIA%2BLOGAN%2BAGADIR%2BLOCATION.webp,300,Manuelle,Agadir,Diesel,2024,5,économique,Meetings Cars,212661661561,#000122,Dacia,123123,,YES,Oui
CLIO 5,https://lh3.googleusercontent.com/-D38JvuqBRS8/Zn2MsKMAWdI/AAAAAAAABAM/VUFT7nSopoQvzRYppoj6w5De7XyMtnNpwCNcBGAsYHQ/h1200/Clio%2B5%2Btomovit.webp,350,Manuelle,Agadir,Diesel,2024,5,économique,Meetings Cars,212661661561,#000123,Renault,123123,ceaGX5aOquk,YES,Oui
Accent,https://lh3.googleusercontent.com/-YA5z1gfWkBw/Zn2cmWUfwyI/AAAAAAAABAU/NuWSwFpu5kI9SRff5zrpMqjLmJYBwo3pQCNcBGAsYHQ/h1200/Untitled%2Bdesign%2B%252833%2529.png,350,Manuelle,Agadir,Diesel,2022,5,économique,Meetings Cars,212661661561,#000124,Hyundai,123123,,YES,Oui
C3,https://lh3.googleusercontent.com/-aVBXfoAobuI/Zn_9yXuGLAI/AAAAAAAABAs/II3iHJFFNPI3f_9hxeOl_cIdLdOhVopowCNcBGAsYHQ/h1200/LOCATION%2BMAROC%2BRABAT%2BCASABLANCA%2BMARRAKESH%2BAGADIR%2BTOMOVIT.webp,300,Manuelle,Agadir,Diesel,2023,5,économique,Meetings Cars,212661661561,#000125,Citroen,123123,GGaSoxM66iE,YES,Oui
CLIO 5,https://lh3.googleusercontent.com/-g5jImF1yRvU/ZoABH--UzjI/AAAAAAAABA4/YlkESfYszhoByLT0u-2wpDS3IMb5sNjLACNcBGAsYHQ/h1200/LOCATION%2BMAROC%2BRABAT%2BCASABLANCA%2BMARRAKESH%2BAGADIR%2BTOMOVIT%2B%2B%25281%2529.webp,300,Manuelle,Agadir,Diesel,2023,5,économique,Aferni Cars,212600552223,#000126,Renault,123123,ceaGX5aOquk,YES,Oui
LOGAN,https://lh3.googleusercontent.com/-DtsEbmdWVI0/ZoAEKtrmFFI/AAAAAAAABBA/Iz_0k2B6AQ8t7SZEeWJmnlyKrD4uieGCwCNcBGAsYHQ/h1200/LOCATION%2BMAROC%2BRABAT%2BCASABLANCA%2BMARRAKESH%2BAGADIR%2BTOMOVIT%2B%2B%25282%2529.webp,300,Manuelle,Agadir,Diesel,2022,5,économique,Aferni Cars,212600552223,#000127,Dacia,123123,,YES,Oui
208,https://lh3.googleusercontent.com/-V_KfklpcsbI/ZoFumqN7sMI/AAAAAAAABBQ/vzAQQ8wxll4xgOw0d-iXMDi4jdU2aoX7wCNcBGAsYHQ/h1200/LOCATION%2BMAROC%2BRABAT%2BCASABLANCA%2BMARRAKESH%2BAGADIR%2BTOMOVIT%2B%2B%25283%2529.webp,300,Manuelle,Agadir,Diesel,2023,5,économique,Aferni Cars,212600552223,#000128,Peugeot,123123,,YES,Oui
Accent,https://lh3.googleusercontent.com/-u6gE1rByoww/ZoF5Rm2Re7I/AAAAAAAABBY/F31WOjsijrs-nd44a84pM-e7Xg9hf6dUwCNcBGAsYHQ/h1200/LOCATION%2BMAROC%2BRABAT%2BCASABLANCA%2BMARRAKESH%2BAGADIR%2BTOMOVIT%2B%2B%25284%2529.webp,400,Automatique,Agadir,Diesel,2023,5,économique,Aferni Cars,212600552223,#000129,Hyundai,123123,,YES,Oui
Clio 5,https://lh3.googleusercontent.com/-SVDdnx81C-s/ZoyO5cP5hGI/AAAAAAAABCA/3Ex378wvtZgje_ubIiyC1p8GNL-6xNf7wCNcBGAsYHQ/h1200/LOCATION%2BMAROC%2BRABAT%2BCASABLANCA%2BMARRAKESH%2BAGADIR%2BTOMOVIT%2B%2B%25286%2529.png,450,Manuelle,Sidi Kacem,Diesel,2024,5,économique,Boukili's Cars,212663547417,#000130,Renault,,ceaGX5aOquk,YES,Oui
